politician,subpopulation,date,answer,pct_estimate,lo,hi
Asa Hutchinson,r,2024-01-09,Favorable,15.734893371631511,11.494513292612472,19.975273450650548
Asa Hutchinson,r,2024-01-09,Unfavorable,27.367667452848373,20.783565201292735,33.951769704404015
Asa Hutchinson,r,2024-01-08,Favorable,15.7368152808504,11.49644416290948,19.97718639879132
Asa Hutchinson,r,2024-01-08,Unfavorable,27.36724286842543,20.783140615283706,33.95134512156715
Asa Hutchinson,r,2024-01-07,Favorable,15.737292895335651,11.497384233026148,19.977201557645152
Asa Hutchinson,r,2024-01-07,Unfavorable,27.367090706424342,20.782988354333163,33.95119305851552
Asa Hutchinson,r,2024-01-06,Favorable,14.504969857071906,10.411999645850951,18.59794006829286
Asa Hutchinson,r,2024-01-06,Unfavorable,27.24620386908422,20.467828294872994,34.024579443295444
Asa Hutchinson,r,2024-01-05,Favorable,14.505396762544184,10.412426551323229,18.59836697376514
Asa Hutchinson,r,2024-01-05,Unfavorable,27.24689718818366,20.468521613972435,34.025272762394884
Asa Hutchinson,r,2024-01-04,Favorable,14.505396762544184,10.412426551323229,18.59836697376514
Asa Hutchinson,r,2024-01-04,Unfavorable,27.247184315518417,20.468808741307193,34.02555988972964
Asa Hutchinson,r,2024-01-03,Favorable,14.505106394906036,10.41188633955297,18.5983264502591
Asa Hutchinson,r,2024-01-03,Unfavorable,27.260265196516137,20.62841849084282,33.892111902189455
Asa Hutchinson,r,2024-01-02,Favorable,14.14849250749765,9.991166330166001,18.305818684829298
Asa Hutchinson,r,2024-01-02,Unfavorable,27.308712844046582,20.48012547303319,34.13730021505997
Asa Hutchinson,r,2024-01-01,Favorable,14.900316075976388,10.60502080562726,19.195611346325514
Asa Hutchinson,r,2024-01-01,Unfavorable,27.111960275213526,20.571241052649093,33.65267949777796
Asa Hutchinson,r,2023-12-31,Favorable,14.900316075976392,10.605020805627264,19.19561134632552
Asa Hutchinson,r,2023-12-31,Unfavorable,27.11223414000554,20.571514917441107,33.652953362569974
Asa Hutchinson,r,2023-12-30,Favorable,14.900316075976392,10.605020805627264,19.19561134632552
Asa Hutchinson,r,2023-12-30,Unfavorable,27.11253864123313,20.571819418668696,33.65325786379756
Asa Hutchinson,r,2023-12-29,Favorable,14.900316075976388,10.60502080562726,19.195611346325514
Asa Hutchinson,r,2023-12-29,Unfavorable,27.112839333774595,20.57212011121016,33.65355855633903
Asa Hutchinson,r,2023-12-28,Favorable,14.902417200774252,10.607121930425125,19.19771247112338
Asa Hutchinson,r,2023-12-28,Unfavorable,27.114087170815488,20.573367948251054,33.65480639337992
Asa Hutchinson,r,2023-12-27,Favorable,14.902417200774252,10.607121930425125,19.19771247112338
Asa Hutchinson,r,2023-12-27,Unfavorable,27.114428908261054,20.57370968569662,33.65514813082549
Asa Hutchinson,r,2023-12-26,Favorable,14.902417200774252,10.607121930425125,19.19771247112338
Asa Hutchinson,r,2023-12-26,Unfavorable,27.114825816651347,20.574106594086913,33.65554503921578
Asa Hutchinson,r,2023-12-25,Favorable,14.902417200774252,10.607121930425125,19.19771247112338
Asa Hutchinson,r,2023-12-25,Unfavorable,27.115274406950178,20.574555184385744,33.65599362951461
Asa Hutchinson,r,2023-12-24,Favorable,14.902417200774252,10.607121930425125,19.19771247112338
Asa Hutchinson,r,2023-12-24,Unfavorable,27.115712937976213,20.57499371541178,33.656432160540646
Asa Hutchinson,r,2023-12-23,Favorable,14.902603423249655,10.607308152900528,19.19789869359878
Asa Hutchinson,r,2023-12-23,Unfavorable,27.117365963495754,20.576646740931324,33.658085186060184
Asa Hutchinson,r,2023-12-22,Favorable,14.902603423249657,10.60730815290053,19.197898693598784
Asa Hutchinson,r,2023-12-22,Unfavorable,27.1178890447992,20.577169822234765,33.65860826736363
Asa Hutchinson,r,2023-12-21,Favorable,14.954012431722436,10.658717161373309,19.24930770207156
Asa Hutchinson,r,2023-12-21,Unfavorable,27.066273186496417,20.525553963931984,33.60699240906085
Asa Hutchinson,r,2023-12-20,Favorable,14.954012431722434,10.658717161373307,19.24930770207156
Asa Hutchinson,r,2023-12-20,Unfavorable,27.067701925324524,20.526982702760094,33.608421147888954
Asa Hutchinson,r,2023-12-19,Favorable,14.951575304773023,10.655735975517182,19.247414634028864
Asa Hutchinson,r,2023-12-19,Unfavorable,27.070284349362925,20.528847728722198,33.61172097000365
Asa Hutchinson,r,2023-12-18,Favorable,14.951575050681832,10.655735861611564,19.2474142397521
Asa Hutchinson,r,2023-12-18,Unfavorable,27.071861562895798,20.530424939267498,33.6132981865241
Asa Hutchinson,r,2023-12-17,Favorable,14.951490462692998,10.655697897983924,19.247283027402073
Asa Hutchinson,r,2023-12-17,Unfavorable,27.073596567218576,20.53216413266709,33.61502900177006
Asa Hutchinson,r,2023-12-16,Favorable,14.553646414089112,10.231489716569586,18.87580311160864
Asa Hutchinson,r,2023-12-16,Unfavorable,27.58194251016286,21.028313900383814,34.13557111994191
Asa Hutchinson,r,2023-12-15,Favorable,14.550180773261513,10.228024075741986,18.87233747078104
Asa Hutchinson,r,2023-12-15,Unfavorable,27.58906029897718,21.035431689198134,34.14268890875623
Asa Hutchinson,r,2023-12-14,Favorable,14.571661856083123,10.249505158563597,18.89381855360265
Asa Hutchinson,r,2023-12-14,Unfavorable,27.58145570111744,21.027827091338395,34.13508431089649
Asa Hutchinson,r,2023-12-13,Favorable,14.566790111645535,10.244633414126008,18.888946809165063
Asa Hutchinson,r,2023-12-13,Unfavorable,27.59034961830953,21.036721008530485,34.14397822808858
